"Season","Name","Team","G","PA","HR","RBI","SB","AVG","OBP","SLG","wOBA","wRC+","BsR","WAR","Age","H","HR","BB","IBB","HBP","SF","SH","OPS","Bat","Fld","-WPA","+WPA","Clutch","AB","playerid"
"1963","Buster Narum","Orioles","7","1","1","2","0","1.000","1.000","4.000","2.181","1305","0.0","0.2","22","1","1","0","0","0","0","0","5.000","1.4","0.0","","","","1","1009455"
"1973","Eduardo Rodriguez","Brewers","30","1","0","0","0","1.000","1.000","3.000","1.665","1002","0.0","0.1","21","1","0","0","0","0","0","0","4.000","1.0","0.0","","","","1","1011102"
"1980","Scott Munninghoff","Phillies","4","1","0","0","0","1.000","1.000","3.000","1.649","1012","0.0","0.1","21","1","0","0","0","0","0","0","4.000","1.0","0.0","0.00","0.07","0.00","1","1009324"
"1976","Randy Lerch","Phillies","1","1","0","0","0","1.000","1.000","2.000","1.340","758","0.0","0.1","21","1","0","0","0","0","0","0","3.000","0.7","0.0","0.00","0.00","0.00","1","1007551"
"1972","Larry Gowell","Yankees","2","1","0","0","0","1.000","1.000","2.000","1.336","833","0.0","0.1","24","1","0","0","0","0","0","0","3.000","0.7","0.0","","","","1","1004905"
"1971","Mike Caldwell","Padres","6","1","0","0","0","1.000","1.000","2.000","1.323","771","0.0","0.1","22","1","0","0","0","0","0","0","3.000","0.7","0.0","","","","1","1001830"
"1971","Don Eddy","White Sox","22","1","0","0","0","1.000","1.000","2.000","1.323","759","0.0","0.1","24","1","0","0","0","0","0","0","3.000","0.7","0.0","","","","1","1003663"
"1975","Davey Johnson","Braves","1","1","0","1","0","1.000","1.000","2.000","1.322","742","0.0","0.1","32","1","0","0","0","0","0","0","3.000","0.7","","0.00","0.06","0.00","1","1006440"
"1967","Larry Loughlin","Phillies","3","1","0","0","0","1.000","1.000","2.000","1.319","761","0.0","0.1","25","1","0","0","0","0","0","0","3.000","0.7","0.0","","","","1","1007770"
"1969","Tom Hilgendorf","Cardinals","6","1","0","1","0","1.000","1.000","2.000","1.316","746","0.0","0.1","27","1","0","0","0","0","0","0","3.000","0.7","0.0","","","","1","1005806"
"1978","Rob Belloir","Braves","2","1","0","0","0","1.000","1.000","2.000","1.311","759","0.0","0.1","29","1","0","0","0","0","0","0","3.000","0.7","0.0","0.00","0.00","0.00","1","1000819"
"1963","Roy Gleason","Dodgers","8","1","0","0","0","1.000","1.000","2.000","1.298","786","0.0","0.1","20","1","0","0","0","0","0","0","3.000","0.7","","","","","1","1004771"
"1959","Jim Stump","Tigers","5","1","0","0","0","1.000","1.000","2.000","1.284","726","0.0","0.1","27","1","0","0","0","0","0","0","3.000","0.8","0.0","","","","1","1012651"
"1958","Chuck Lindstrom","White Sox","1","2","0","1","0","1.000","1.000","3.000","1.166","670","0.0","0.1","21","1","0","1","0","0","0","0","4.000","1.3","0.0","","","","1","1007629"
"1970","Hal Haydel","Twins","4","3","1","1","0",".667",".667","2.000","1.140","631","0.0","0.2","25","2","1","0","0","0","0","0","2.667","1.9","0.0","","","","3","1005520"
"1983","Jeff Stone","Phillies","9","4","0","3","4",".750",".750","1.750","1.047","588","0.8","0.2","22","3","0","0","0","0","0","0","2.500","2.2","-1.0","-0.14","0.79","0.12","4","1012567"
"1974","John Hale","Dodgers","4","4","0","2","0","1.000","1.000","1.250","1.024","560","0.0","0.1","20","4","0","0","0","0","0","0","2.250","2.1","-1.0","0.00","0.30","0.00","4","1005223"
"1972","Dave Leonhard","Orioles","16","2","0","0","0","1.000","1.000","2.000","1.015","603","0.0","0.1","31","1","0","1","0","0","0","0","3.000","1.0","0.0","","","","1","1007540"
"1964","Fritz Ackley","White Sox","3","2","0","1","0","1.000","1.000","2.000",".991","540","0.0","0.1","27","1","0","1","0","0","0","0","3.000","1.0","0.0","","","","1","1000032"
"1978","Mickey Klutts","Yankees","1","3","0","0","0","1.000","1.000","1.500",".988","551","0.0","0.1","23","2","0","0","0","1","0","0","2.500","1.5","-1.0","0.00","0.21","0.05","2","1007022"
"1963","Ed Hobaugh","Senators","9","3","1","1","0",".500",".667","2.000",".956","511","0.0","0.2","29","1","1","1","0","0","0","0","2.667","1.4","0.0","","","","2","1005867"
"1976","Mike Dupree","Padres","12","1","0","0","0","1.000","1.000","1.000",".926","497","0.0","0.1","23","1","0","0","0","0","0","0","2.000","0.4","0.0","0.00","0.00","0.00","1","1003581"
"1974","Larry Herndon","Cardinals","12","1","0","0","0","1.000","1.000","1.000",".922","488","0.0","0.1","20","1","0","0","0","0","0","0","2.000","0.4","0.0","0.00","0.01","-0.02","1","1005717"
