Tm,Lg,G,W,L,W-L%,R,RA,SRS,pythWL,Luck,#P,PAge,RA/G,ERA,H_x,ER,HR_x,BB_x,IBB_x,SO_x,HBP_x,BK,WP,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB_x,#Bat,BatAge,R/G,PA,AB,H_y,2B,3B,HR_y,RBI,SB,CS,BB_y,SO_y,BA,OBP,SLG,OPS,OPS+,TB,HBP_y,SH,SF,IBB_y,LOB_y,Season
STL,NL,162,100,62,0.617,4.0,3.2,0.5,96-66,4,23,28.2,3.24,2.94,1359,478,123,477,37,1329,45,5,48,134,3.47,1.254,8.4,0.8,2.9,8.2,2.79,1215,46,28.4,3.99,6139,5484,1386,288,39,137,619,69,38,506,1267,0.253,0.321,0.394,0.716,95,2163,66,39,42,47,1152,2015
PIT,NL,162,98,64,0.605,4.3,3.7,0.3,93-69,5,21,29.6,3.68,3.21,1392,532,110,453,38,1338,75,4,67,121,3.36,1.239,8.4,0.7,2.7,8.1,2.95,1150,46,28.2,4.3,6285,5631,1462,292,27,140,661,98,45,461,1322,0.26,0.323,0.396,0.719,97,2228,89,63,41,46,1166,2015
CHC,NL,162,97,65,0.599,4.3,3.8,0.2,90-72,7,29,29.3,3.75,3.36,1276,546,134,407,38,1431,46,3,66,114,3.3,1.152,7.9,0.8,2.5,8.8,3.52,1005,50,26.9,4.25,6200,5491,1341,272,30,171,657,95,37,567,1518,0.244,0.321,0.398,0.719,98,2186,74,32,35,47,1165,2015
KCR,AL,162,95,67,0.586,4.5,4.0,0.7,90-72,5,24,30.0,3.96,3.73,1372,601,155,489,10,1160,52,2,62,112,4.04,1.282,8.5,1.0,3.0,7.2,2.37,1115,45,29.1,4.47,6116,5575,1497,300,42,139,689,104,34,383,973,0.269,0.322,0.412,0.734,98,2298,77,34,47,28,1079,2015
TOR,AL,162,93,69,0.574,5.5,4.1,1.6,102-60,-9,28,29.2,4.14,3.8,1353,609,173,397,20,1117,59,4,62,108,4.09,1.214,8.5,1.1,2.5,7.0,2.81,991,52,29.5,5.5,6232,5509,1480,308,17,232,852,88,23,570,1151,0.269,0.34,0.457,0.797,115,2518,54,36,62,12,1057,2015
LAD,NL,162,92,70,0.568,4.1,3.7,0.1,89-73,3,31,28.1,3.67,3.44,1317,553,145,395,32,1396,38,10,52,107,3.41,1.184,8.2,0.9,2.5,8.7,3.53,1000,55,29.6,4.12,6090,5385,1346,263,26,187,638,59,34,563,1258,0.25,0.326,0.413,0.739,106,2222,60,49,30,31,1121,2015
NYM,NL,162,90,72,0.556,4.2,3.8,0.0,89-73,1,26,28.2,3.78,3.43,1341,557,152,383,43,1337,44,2,46,111,3.53,1.179,8.3,0.9,2.4,8.2,3.49,1045,49,28.6,4.22,6145,5527,1351,295,17,177,654,51,25,488,1290,0.244,0.312,0.4,0.712,96,2211,68,29,32,42,1098,2015
TEX,AL,162,88,74,0.543,4.6,4.5,0.4,83-79,5,31,28.1,4.52,4.24,1459,680,171,508,29,1095,63,5,51,100,4.34,1.363,9.1,1.1,3.2,6.8,2.16,1154,57,28.7,4.64,6187,5511,1419,279,32,172,707,101,39,503,1233,0.257,0.325,0.413,0.739,98,2278,76,43,54,32,1130,2015
NYY,AL,162,87,75,0.537,4.7,4.3,0.8,88-74,-1,33,27.4,4.31,4.03,1416,652,182,474,16,1370,56,4,78,101,3.97,1.297,8.7,1.1,2.9,8.5,2.89,1120,56,31.4,4.72,6268,5567,1397,272,19,212,737,63,25,554,1227,0.251,0.323,0.421,0.744,102,2343,63,24,54,23,1151,2015
HOU,AL,162,86,76,0.531,4.5,3.8,0.9,93-69,-7,24,29.4,3.81,3.57,1308,572,148,423,17,1280,43,2,61,110,3.66,1.201,8.2,0.9,2.6,8.0,3.03,1024,46,26.3,4.5,6073,5459,1363,278,26,230,691,121,48,486,1392,0.25,0.315,0.437,0.752,107,2383,56,28,43,22,1036,2015
