Tm,Lg,G,W,L,W-L%,R,RA,SRS,Luck,#P,PAge,RA/G,ERA,H_x,ER,HR_x,BB_x,IBB_x,SO_x,HBP_x,BK,WP,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB_x,#Bat,BatAge,R/G,PA,AB,H_y,2B,3B,HR_y,RBI,SB,CS,BB_y,SO_y,BA,OBP,SLG,OPS,OPS+,TB,HBP_y,SH,SF,IBB_y,LOB_y,Season
LAD,NL,162,104,58,0.642,4.8,3.6,0.9,2,26,29.7,3.58,3.38,1226,543,184,442,33,1549,40,10,40,123,3.67,1.155,7.6,1.1,2.8,9.6,3.5,1011,52,27.9,4.75,6191,5408,1347,312,20,221,730,77,28,649,1380,0.249,0.334,0.437,0.771,103,2362,64,31,38,41,1146,2017
CLE,AL,162,102,60,0.63,5.0,3.5,1.5,-6,20,28.9,3.48,3.3,1267,529,163,406,15,1614,45,1,48,141,3.33,1.161,7.9,1.0,2.5,10.1,3.98,980,41,28.0,5.05,6234,5511,1449,333,29,212,780,88,23,604,1153,0.263,0.339,0.449,0.788,103,2476,50,23,45,30,1158,2017
HOU,AL,162,101,61,0.624,5.5,4.3,1.2,2,27,28.5,4.32,4.12,1314,662,192,522,17,1593,70,4,86,98,3.91,1.27,8.2,1.2,3.2,9.9,3.05,1073,46,28.8,5.53,6271,5611,1581,346,20,238,854,98,42,509,1087,0.282,0.346,0.478,0.823,124,2681,70,11,61,27,1094,2017
WSN,NL,162,97,65,0.599,5.1,4.1,0.6,1,24,30.1,4.15,3.88,1300,623,189,495,39,1457,60,5,44,116,3.99,1.241,8.1,1.2,3.1,9.1,2.94,1056,49,29.2,5.06,6214,5553,1477,311,31,215,796,108,30,542,1327,0.266,0.332,0.449,0.782,99,2495,31,43,45,56,1101,2017
BOS,AL,162,93,69,0.574,4.8,4.1,0.8,0,27,28.4,4.12,3.7,1384,610,195,465,18,1580,49,3,43,121,3.78,1.247,8.4,1.2,2.8,9.6,3.4,1102,49,27.3,4.85,6338,5669,1461,302,19,168,735,106,31,571,1224,0.258,0.329,0.407,0.736,92,2305,53,9,36,48,1134,2017
ARI,NL,162,93,69,0.574,5.0,4.1,0.8,-3,23,28.7,4.07,3.66,1309,586,171,516,45,1482,38,5,82,127,3.8,1.266,8.2,1.1,3.2,9.3,2.87,1090,45,28.3,5.01,6224,5525,1405,314,39,220,776,103,30,578,1456,0.254,0.329,0.445,0.774,95,2457,54,39,27,44,1118,2017
CHC,NL,162,92,70,0.568,5.1,4.3,0.6,-1,28,30.8,4.29,3.95,1294,636,194,554,29,1439,66,4,73,113,4.2,1.277,8.0,1.2,3.4,8.9,2.6,1071,47,27.1,5.07,6283,5496,1402,274,29,223,785,62,31,622,1401,0.255,0.338,0.437,0.775,98,2403,82,48,32,54,1147,2017
NYY,AL,162,91,71,0.562,5.3,4.1,1.3,-9,25,27.8,4.07,3.72,1248,599,192,504,18,1560,53,4,83,121,3.88,1.209,7.8,1.2,3.1,9.7,3.1,1072,51,28.6,5.3,6354,5594,1463,266,23,241,821,90,22,616,1386,0.262,0.339,0.447,0.785,104,2498,64,18,56,22,1184,2017
COL,NL,162,87,75,0.537,5.1,4.7,0.3,0,21,27.0,4.67,4.51,1453,721,190,532,20,1270,50,10,69,111,4.32,1.381,9.1,1.2,3.3,8.0,2.39,1107,41,28.3,5.09,6201,5534,1510,293,38,192,793,59,34,519,1408,0.273,0.338,0.444,0.781,91,2455,44,62,41,46,1088,2017
MIL,NL,162,86,76,0.531,4.5,4.3,0.1,1,30,28.3,4.3,4.0,1381,642,185,553,45,1346,64,2,50,110,4.24,1.338,8.6,1.2,3.4,8.4,2.43,1130,50,27.4,4.52,6135,5467,1363,267,22,224,695,128,41,547,1571,0.249,0.322,0.429,0.751,94,2346,53,42,26,34,1088,2017
MIN,AL,162,85,77,0.525,5.0,4.9,0.2,2,36,29.6,4.86,4.59,1487,732,224,483,37,1166,69,8,52,98,4.72,1.372,9.3,1.4,3.0,7.3,2.41,1109,52,27.0,5.03,6261,5557,1444,286,31,206,781,95,28,593,1342,0.26,0.334,0.434,0.768,103,2410,46,26,39,26,1147,2017
STL,NL,162,83,79,0.512,4.7,4.4,0.2,-4,25,28.3,4.35,4.01,1393,646,183,493,50,1351,67,0,38,107,4.09,1.3,8.6,1.1,3.1,8.4,2.74,1097,48,28.0,4.7,6219,5470,1402,284,28,196,728,81,31,593,1348,0.256,0.334,0.426,0.76,99,2330,65,47,44,36,1118,2017
LAA,AL,162,80,82,0.494,4.4,4.4,0.1,-1,31,29.1,4.38,4.2,1373,672,224,470,25,1312,44,6,57,102,4.43,1.279,8.6,1.4,2.9,8.2,2.79,999,55,30.0,4.38,6073,5415,1314,251,14,186,678,136,44,523,1198,0.243,0.315,0.397,0.712,92,2151,70,17,46,30,1033,2017
TBR,AL,162,80,82,0.494,4.3,4.3,0.1,0,30,27.6,4.35,3.97,1324,638,193,503,37,1352,48,4,83,105,4.17,1.264,8.2,1.2,3.1,8.4,2.69,1060,53,28.3,4.28,6147,5478,1340,226,32,228,671,88,34,545,1538,0.245,0.317,0.422,0.739,100,2314,55,16,48,33,1114,2017
KCR,AL,162,80,82,0.494,4.3,4.9,-0.4,8,29,30.3,4.88,4.61,1480,737,196,519,24,1216,52,6,48,97,4.43,1.39,9.3,1.2,3.2,7.6,2.34,1114,49,28.9,4.33,6027,5536,1436,260,24,193,660,91,31,390,1166,0.259,0.311,0.42,0.731,93,2323,45,17,37,19,1005,2017
TEX,AL,162,78,84,0.481,4.9,5.0,0.0,-1,31,28.8,5.04,4.66,1443,742,214,559,22,1107,74,7,63,103,4.88,1.396,9.1,1.3,3.5,6.9,1.98,1092,51,28.3,4.93,6122,5430,1326,255,21,237,756,113,44,544,1493,0.244,0.32,0.43,0.75,91,2334,81,27,39,18,1015,2017
SEA,AL,162,78,84,0.481,4.6,4.8,0.0,-1,40,27.8,4.77,4.46,1399,713,237,490,28,1244,53,7,73,95,4.7,1.312,8.7,1.5,3.1,7.8,2.54,1039,61,29.5,4.63,6166,5551,1436,281,17,200,714,89,35,487,1267,0.259,0.325,0.424,0.749,102,2351,78,14,35,31,1084,2017
MIA,NL,162,77,85,0.475,4.8,5.1,-0.5,0,24,28.7,5.07,4.82,1450,772,193,627,59,1202,75,3,57,83,4.69,1.44,9.0,1.2,3.9,7.5,1.92,1168,43,28.4,4.8,6248,5602,1497,271,31,194,743,91,30,486,1282,0.267,0.331,0.431,0.761,107,2412,67,50,41,48,1130,2017
TOR,AL,162,76,86,0.469,4.3,4.8,-0.3,4,33,28.8,4.84,4.42,1460,720,203,549,25,1372,48,4,53,102,4.31,1.371,9.0,1.2,3.4,8.4,2.5,1137,60,30.9,4.28,6154,5499,1320,269,5,222,661,53,24,542,1327,0.24,0.312,0.412,0.724,90,2265,51,25,35,12,1064,2017
PIT,NL,162,75,87,0.463,4.1,4.5,-0.4,1,24,27.1,4.51,4.22,1464,676,182,511,32,1262,58,2,58,100,4.23,1.371,9.1,1.1,3.2,7.9,2.47,1155,47,28.2,4.12,6136,5458,1331,249,36,151,635,67,36,519,1213,0.244,0.318,0.386,0.704,86,2105,88,42,28,39,1129,2017
BAL,AL,162,75,87,0.463,4.6,5.2,-0.3,3,26,28.2,5.19,4.97,1505,795,242,579,21,1233,60,6,53,89,4.96,1.446,9.4,1.5,3.6,7.7,2.13,1129,50,28.6,4.59,6140,5650,1469,269,12,232,713,32,13,392,1412,0.26,0.312,0.435,0.747,98,2458,50,10,37,12,1041,2017
OAK,AL,162,75,87,0.463,4.6,5.1,-0.4,2,28,27.9,5.1,4.67,1444,743,210,502,17,1202,61,3,84,89,4.57,1.36,9.1,1.3,3.2,7.6,2.39,1048,54,28.7,4.56,6126,5464,1344,305,15,234,708,57,22,565,1491,0.246,0.319,0.436,0.755,105,2381,43,13,40,15,1075,2017
ATL,NL,162,72,90,0.444,4.5,5.1,-0.7,-1,26,29.4,5.07,4.72,1463,756,192,584,39,1258,70,5,58,91,4.51,1.42,9.1,1.2,3.6,7.9,2.15,1161,49,28.7,4.52,6216,5584,1467,289,26,165,706,77,31,474,1184,0.263,0.326,0.412,0.738,94,2303,66,59,32,57,1127,2017
SDP,NL,162,71,91,0.438,3.7,5.0,-1.3,12,32,27.7,5.04,4.67,1417,742,226,554,28,1325,75,11,73,90,4.67,1.378,8.9,1.4,3.5,8.3,2.39,1061,52,26.2,3.73,5954,5356,1251,227,31,189,576,89,33,460,1499,0.234,0.299,0.393,0.692,83,2107,53,52,33,20,1037,2017
NYM,NL,162,70,92,0.432,4.5,5.3,-0.9,1,29,27.5,5.33,5.01,1538,799,220,593,51,1374,55,5,55,82,4.59,1.485,9.6,1.4,3.7,8.6,2.32,1211,52,28.8,4.54,6169,5510,1379,286,28,224,713,58,23,529,1291,0.25,0.32,0.434,0.755,101,2393,57,36,37,31,1099,2017
CIN,NL,162,68,94,0.42,4.6,5.4,-0.7,-2,31,27.6,5.36,5.17,1442,821,248,631,37,1300,77,7,62,85,5.08,1.45,9.1,1.6,4.0,8.2,2.06,1127,47,27.1,4.65,6213,5484,1390,249,38,219,715,120,39,565,1329,0.253,0.329,0.433,0.761,98,2372,72,50,42,41,1135,2017
CHW,AL,162,67,95,0.414,4.4,5.1,-0.5,-3,31,28.7,5.06,4.78,1384,755,242,632,36,1193,68,5,67,90,5.17,1.418,8.8,1.5,4.0,7.6,1.89,1115,51,26.7,4.36,6059,5513,1412,256,37,186,670,71,31,401,1397,0.256,0.314,0.417,0.731,97,2300,76,35,33,17,1055,2017
PHI,NL,162,66,96,0.407,4.3,4.8,-0.7,-6,31,26.8,4.83,4.55,1471,729,221,527,39,1309,63,11,50,96,4.56,1.387,9.2,1.4,3.3,8.2,2.48,1130,51,26.6,4.26,6133,5535,1382,287,36,174,654,59,25,494,1417,0.25,0.315,0.409,0.723,89,2263,47,21,36,25,1079,2017
SFG,NL,162,64,98,0.395,3.9,4.8,-0.9,-3,22,28.9,4.79,4.5,1515,726,182,496,42,1234,50,3,55,97,4.22,1.385,9.4,1.1,3.1,7.6,2.49,1155,49,29.5,3.94,6137,5551,1382,290,28,128,612,76,34,467,1204,0.249,0.309,0.38,0.689,80,2112,36,31,52,37,1093,2017
DET,AL,162,64,98,0.395,4.5,5.5,-0.8,-3,29,28.3,5.52,5.36,1587,846,218,538,42,1202,61,4,53,85,4.73,1.496,10.1,1.4,3.4,7.6,2.23,1143,49,29.6,4.54,6150,5556,1435,289,35,187,699,65,34,503,1313,0.258,0.324,0.424,0.748,97,2355,52,11,27,21,1104,2017
