,AVG,0,Season
0,0.38799999999999996,2,1957
1,0.365,2,1957
2,0.361,3,1957
3,0.39,1,1957
4,0.317,50,1957
5,0.321,50,1957
6,0.316,47,1957
7,0.354,3,1957
8,0.32,52,1957
9,0.327,25,1957
10,0.314,62,1957
11,0.358,4,1957
12,0.33299999999999996,26,1957
13,0.366,4,1957
14,0.32899999999999996,21,1957
15,0.326,31,1957
16,0.302,127,1957
17,0.308,63,1957
18,0.301,139,1957
19,0.32799999999999996,26,1957
20,0.342,13,1957
21,0.304,111,1957
22,0.295,130,1957
23,0.299,65,1957
24,0.289,166,1957
25,0.275,215,1957
26,0.276,257,1957
27,0.31,67,1957
28,0.355,3,1957
29,0.303,107,1957
30,0.35100000000000003,6,1957
31,0.315,65,1957
32,0.3,201,1957
33,0.29,151,1957
34,0.297,127,1957
35,0.287,176,1957
36,0.28800000000000003,167,1957
37,0.34700000000000003,8,1957
38,0.335,13,1957
39,0.307,94,1957
40,0.331,22,1957
41,0.32299999999999995,29,1957
42,0.363,6,1957
43,0.33799999999999997,16,1957
44,0.33,28,1957
45,0.28600000000000003,185,1957
46,0.29600000000000004,104,1957
47,0.29100000000000004,154,1957
48,0.278,204,1957
49,0.311,66,1957
50,0.306,93,1957
51,0.322,35,1957
52,0.33399999999999996,12,1957
53,0.26899999999999996,203,1957
54,0.281,167,1957
55,0.325,35,1957
56,0.312,71,1957
57,0.319,51,1957
58,0.305,87,1957
59,0.293,157,1957
60,0.309,82,1957
61,0.345,6,1957
62,0.35700000000000004,5,1957
63,0.282,206,1957
64,0.313,69,1957
65,0.35200000000000004,4,1957
66,0.348,7,1957
67,0.253,202,1957
68,0.368,3,1957
69,0.27399999999999997,186,1957
70,0.27699999999999997,230,1957
71,0.266,226,1957
72,0.28300000000000003,194,1957
73,0.292,135,1957
74,0.298,89,1957
75,0.34,12,1957
76,0.271,236,1957
77,0.318,61,1957
78,0.33899999999999997,10,1957
79,0.341,13,1957
80,0.344,6,1957
81,0.27899999999999997,154,1957
82,0.28,204,1957
83,0.359,4,1957
84,0.242,187,1957
85,0.262,219,1957
86,0.247,189,1957
87,0.337,10,1957
88,0.27,248,1957
89,0.257,214,1957
90,0.265,209,1957
91,0.285,188,1957
92,0.255,237,1957
93,0.364,2,1957
94,0.34299999999999997,7,1957
95,0.294,133,1957
96,0.324,45,1957
97,0.272,207,1957
98,0.353,6,1957
99,0.26,254,1957
100,0.261,222,1957
101,0.249,239,1957
102,0.263,244,1957
103,0.284,171,1957
104,0.34600000000000003,5,1957
105,0.332,24,1957
106,0.243,197,1957
107,0.273,232,1957
108,0.35,4,1957
109,0.24100000000000002,178,1957
110,0.258,192,1957
111,0.336,17,1957
112,0.24,173,1957
113,0.244,169,1957
114,0.24600000000000002,194,1957
115,0.264,233,1957
116,0.248,188,1957
117,0.268,199,1957
118,0.254,198,1957
119,0.349,6,1957
120,0.267,200,1957
121,0.256,236,1957
122,0.223,93,1957
123,0.259,212,1957
124,0.25,208,1957
125,0.233,162,1957
126,0.245,190,1957
127,0.222,91,1957
128,0.251,273,1957
129,0.252,198,1957
130,0.231,118,1957
131,0.22399999999999998,105,1957
132,0.23600000000000002,134,1957
133,0.228,108,1957
134,0.237,151,1957
135,0.23199999999999998,124,1957
136,0.23800000000000002,173,1957
137,0.21100000000000002,66,1957
138,0.22899999999999998,109,1957
139,0.235,141,1957
140,0.23,125,1957
141,0.23399999999999999,145,1957
142,0.207,46,1957
143,0.213,58,1957
144,0.21,46,1957
145,0.218,79,1957
146,0.21600000000000003,64,1957
147,0.239,167,1957
148,0.226,95,1957
149,0.221,90,1957
150,0.215,77,1957
151,0.225,118,1957
